Symbol;Name;Shares;Share Cost (EUR);Invested (EUR);Last Update (Buy/Sell);Last Update (Staking)
BTC;Bitcoin EUR;0.0653371309999999;63608.70054119773;4156.01;2026-06-02;
ETH;Ethereum EUR;0.03045;2493.92446634;75.94;;
DOGE;Dogecoin EUR;960.902548;0.0811945;78.02;;
BNB;BNB EUR;0.1127362;308.06431297;34.73;;
ADA;Cardano EUR;22.307;1.38476711;30.89;;
SHIB;Shiba Inu EUR;4394106.02;2.645e-05;116.21;;
LRC;Loopring EUR;240.94;1.70129493;409.91;;
SOL;Solana EUR;31.106499023429024;102.62035588112006;3192.16;2026-05-31;2026-06-01
XRP;XRP EUR;16.508227;3.020917994;49.87;;
